cluster_id,size,top_tags,sample_names,avg_name_length
45,39,"['cnsl', 'snx', 'calvin']","['copy of (#1223) top holders of gno', 'copy of (#1132) bancor non-bnt trades', 'fulcrum tokens']",24.307692307692307
46,24,[],"['testing prices', 'all time degens erc20 bets', 'ytd degens erc20 bets']",31.458333333333332
47,40,[],"['workshop', 'hourly floor tracker', 'party penguins: hourly floor tracker']",29.7
48,53,"['nft', 'layer2', 'zksync', 'zkrollup', 'pudgy penguins']","['blitmap: wallets', 'meebits: wallets', 'meebits: buckets']",28.41509433962264
49,42,[],"['spooky floor', 'osiris cosmic kids', 'cryptobeast floor']",21.80952380952381
50,16,"['setprotocol', 'defi', 'gnosis protocol', 'cmm']","['set protocol sandbox', 'gpv2 - metrics for front-end [draft]', 'gpv2 - user based metrics for front-end [draft]']",31.5625
51,35,[],"['ethereum top-10 burners racing', 'element deposits', 'ethereum top-10 burners racing']",28.057142857142857
52,16,"['xdollar', 'xdo']","['xdo top balance (polygon)', 'balancer trades on polygon', 'balancer v2 pool swap fees on polygon']",28.9375
53,18,"['etherscamdb', 'cryptoscamdb', 'hex.win', '201911-bitly']","['etherscamdb frequency of eth sent to flagged addresses', 'etherscamdb total eth (4,000,000 <> 7,579,270)', 'etherscamdb top address receivers']",54.611111111111114
54,16,[],"['[fairwin] gas used from multiple addresses to a specific address', '[fairwin] count of tx from multiple addresses to a specific address', '[fairwin] eth balance grouped by year month']",52.25
55,47,['monthly'],"['cumulative secondary sales volume by day - old', 'daily secondary sales volume - growth rates - old', 'monthly sales volume - primary & secondary - old']",23.46808510638298
56,76,"['compound', 'defi']","['1inch total users', '1inch new/old users per period', 'total compound users over time']",30.342105263157894
57,63,"['0x', 'json', 'chzwzrds', 'ant', 'aragon']","['new query', 'max block number for addresses', 'generic token transfer']",18.80952380952381
58,38,[],"['paraswap referrers', 'total hodl contributions', '# party bids created']",28.13157894736842
59,18,"['eth', 'dai', 'makerdao', 'dex']","['bloom metatransaction volume', 'monthly dai+sai tx volume', 'monthly dai volume by project']",23.72222222222222
60,49,[],"['large hack', 'aave v2 getuserreservedata', 'fork of (#7146) aave - cumulative daily deposits volume per asset']",36.08163265306123
61,16,"['wallet', 'instadapp', 'defi']","['new instadapp wallets and growth rate', 'instadapp transactions per wallet', 'all transactions to instadapp wallets']",31.1875
62,44,"['defi', 'uniswap', 'synthetix', 'kyber']","['uniswap dai/eth trades', 'uniswap mkr/eth trades', '(wip) uniswap - number of traders last week']",29.636363636363637
63,21,[],"['eth buying on uniswap', 'eth bought uniswap', 'pan purchases']",29.0
64,51,"['reuf rujevic', 'axieinfinity']","['x5b620186a05a131560135760016020526000565b600080601f600039601f565b6000f3', '0x4272c298f23947d617b9d04b62a717d55483cfc7 sending 0.0004', '0xaa5c4244f05c92781c4f259913319d8ba1acf05e miner']",18.19607843137255
